paciente_endereco_nmMunicipio,paciente_endereco_uf,Qtd_Vacinas,Etiqueta_Classificacao
FERNANDOPOLIS,SP,49376,Alta Vacinação
TAPIRAI,MG,3,Baixa Vacinação
PIEDADE,SP,36052,Alta Vacinação
BARRINHA,SP,18294,Alta Vacinação
SAO JOAO DE MERITI,RJ,1202,Alta Vacinação
MAIRIPORA - SP,"",1,Baixa Vacinação
PRATANIA,SP,4030,Alta Vacinação
CONCEICAO DO PARA,MG,22,Baixa Vacinação
IPIAU,BA,1653,Alta Vacinação
CAXIAS,MA,1601,Alta Vacinação
MALHADA,BA,513,Alta Vacinação
VITORIA DAS MISSOES,RS,4,Baixa Vacinação
MONJOLOS,MG,16,Baixa Vacinação
NOVA MARINGA,MT,18,Baixa Vacinação
ALMIRANTE TAMANDARE DO SUL,RS,1,Baixa Vacinação
RIOLANDIA,SP,5424,Alta Vacinação
VITORIA DO MEARIM,MA,501,Alta Vacinação
SAO JOAO DO ITAPERIU,SC,19,Baixa Vacinação
CALDEIRAO GRANDE,BA,584,Alta Vacinação
IMACULADA,PB,801,Alta Vacinação
CANTO DO BURITI,PI,739,Alta Vacinação
LONDRINA,PR,10910,Alta Vacinação
ITAMARAJU,BA,590,Alta Vacinação
NOVO HORIZONTE,SP,23411,Alta Vacinação
SAO JOSE DOS CAMPOS,SP,402351,Alta Vacinação
FERNANDO FALCAO,MA,8,Baixa Vacinação
SERRA AZUL,SP,8505,Alta Vacinação
ALUMINIO,SP,13409,Alta Vacinação
TUPANCIRETA,RS,12,Baixa Vacinação
IACRI,SP,3391,Alta Vacinação
BROCHIER,RS,3,Baixa Vacinação
TABAPUA,SP,7777,Alta Vacinação
TEOTONIO VILELA,AL,1131,Alta Vacinação
BAIANOPOLIS,BA,23,Baixa Vacinação
HGYKIU,"",1,Baixa Vacinação
TRES LAGOAS,MS,6023,Alta Vacinação
CARPINA,PE,564,Alta Vacinação
ARACI - BA,"",1,Baixa Vacinação
DOIS LAJEADOS,RS,10,Baixa Vacinação
ITU,SP,102039,Alta Vacinação
LAGARTO,SE,1611,Alta Vacinação
CORUMBATAI,SP,2792,Alta Vacinação
PEQUI,MG,6,Baixa Vacinação
SEBASTIAO BARROS,PI,2,Baixa Vacinação
BARRA DO CHAPEU,SP,3533,Alta Vacinação
BELO HORIZONTE,MG,17732,Alta Vacinação
RIBEIRA DO POMBAL,BA,2176,Alta Vacinação
ANDRADINA,SP,32072,Alta Vacinação
CONDOR,RS,8,Baixa Vacinação
CAMPINA DO SIMAO,PR,15,Baixa Vacinação
LUCIARA,MT,17,Baixa Vacinação
TERRA ALTA,PA,10,Baixa Vacinação
GALINHOS,RN,10,Baixa Vacinação
WITMARSUM,SC,7,Baixa Vacinação
SAO JOSE DE RIBAMAR,MA,770,Alta Vacinação
SANTA TEREZINHA,MT,13,Baixa Vacinação
RESERVA DO IGUACU,PR,3,Baixa Vacinação
TIETE,SP,25280,Alta Vacinação
SARAPUI,SP,5432,Alta Vacinação
BOCAIUVA,MG,505,Alta Vacinação
LAVANDEIRA,TO,4,Baixa Vacinação
COTEGIPE,BA,21,Baixa Vacinação
BARRAS,PI,1280,Alta Vacinação
DAMOLANDIA,GO,6,Baixa Vacinação
TRIUNFO POTIGUAR,RN,6,Baixa Vacinação
ZORTEA,SC,11,Baixa Vacinação
VISTA GAUCHA,RS,6,Baixa Vacinação
ALTO BOA VISTA,MT,24,Baixa Vacinação
PARISI,SP,2352,Alta Vacinação
PARANAPUA,SP,2955,Alta Vacinação
IBIASSUCE,BA,506,Alta Vacinação
MUNICIPIO IGNORADO - CE,CE,1,Baixa Vacinação
BANZAE,BA,834,Alta Vacinação
JATAI,GO,753,Alta Vacinação
CAMOCIM,CE,553,Alta Vacinação
AGRONOMICA,SC,8,Baixa Vacinação
PAINEL,SC,3,Baixa Vacinação
SAO BONIFACIO,SC,7,Baixa Vacinação
SAO MANOEL DO PARANA,PR,23,Baixa Vacinação
MARAVILHAS,MG,17,Baixa Vacinação
PEDRO AVELINO,RN,9,Baixa Vacinação
SIMOES FILHO,BA,882,Alta Vacinação
MORADA NOVA,CE,506,Alta Vacinação
BELFORD ROXO,RJ,1091,Alta Vacinação
PORTO AMAZONAS,PR,12,Baixa Vacinação
FEIRA NOVA DO MARANHAO,MA,8,Baixa Vacinação
PONTE BRANCA,MT,4,Baixa Vacinação
DONA FRANCISCA,RS,4,Baixa Vacinação
BATALHA,PI,1440,Alta Vacinação
PETROLANDIA,PE,661,Alta Vacinação
ALTOS,PI,619,Alta Vacinação
TAIACU,SP,4647,Alta Vacinação
PALMITAL,SP,15105,Alta Vacinação
MONTE CARLO,SC,19,Baixa Vacinação
BARRA DO RIBEIRO,RS,14,Baixa Vacinação
BATAGUASSU,MS,1410,Alta Vacinação
AVELINO LOPES,PI,669,Alta Vacinação
MACIEIRA,SC,4,Baixa Vacinação
PIQUEROBI,SP,2322,Alta Vacinação
barueri,None,1,Baixa Vacinação
ALTO PARNAIBA,MA,20,Baixa Vacinação
NOVA ROMA DO SUL,RS,20,Baixa Vacinação
GENERAL CARNEIRO,MT,10,Baixa Vacinação
BARROLANDIA,TO,16,Baixa Vacinação
SEBASTIANOPOLIS DO SUL,SP,2994,Alta Vacinação
COLOMBO,PR,1992,Alta Vacinação
SALTINHO,SP,6676,Alta Vacinação
MARABA,PA,905,Alta Vacinação
UNIAO DA VITORIA,PR,506,Alta Vacinação
CORDISBURGO,MG,18,Baixa Vacinação
BARRA DA ESTIVA,BA,539,Alta Vacinação
SAO SEPE,RS,22,Baixa Vacinação
MINGA-PORA,None,1,Baixa Vacinação
GUAIRA,SP,28298,Alta Vacinação
PARAI,RS,21,Baixa Vacinação
ACAILANDIA,MA,631,Alta Vacinação
SAO MIGUEL DO TAPUIO,PI,1303,Alta Vacinação
ITIRAPINA,SP,8964,Alta Vacinação
JAU DO TOCANTINS,TO,18,Baixa Vacinação
MAURILANDIA DO TOCANTINS,TO,8,Baixa Vacinação
LUCELIA,SP,12826,Alta Vacinação
PONTE ALTA DO TOCANTINS,TO,15,Baixa Vacinação
PAULISTA,PE,1756,Alta Vacinação
ANTONIO DIAS,MG,23,Baixa Vacinação
IVAI,PR,23,Baixa Vacinação
FRANCISCO MORATO,SP,108434,Alta Vacinação
EREBANGO,RS,3,Baixa Vacinação
NOVO HAMBURGO,RS,701,Alta Vacinação
BASTOS,SP,15179,Alta Vacinação
SULINA,PR,13,Baixa Vacinação
FORTALEZA DOS VALOS,RS,9,Baixa Vacinação
ATALAIA DO NORTE,AM,8,Baixa Vacinação
ALMAS,TO,12,Baixa Vacinação
BRASOPOLIS,MG,1052,Alta Vacinação
RIO DO ANTONIO,BA,741,Alta Vacinação
CHAVANTES,SP,8059,Alta Vacinação
CAMPO DO TENENTE,PR,24,Baixa Vacinação
CERRO GRANDE DO SUL,RS,3,Baixa Vacinação
DIORAMA,GO,3,Baixa Vacinação
AMORINOPOLIS,GO,7,Baixa Vacinação
QUATRO IRMAOS,RS,2,Baixa Vacinação
VERA CRUZ,SP,6160,Alta Vacinação
NOVA CANAA PAULISTA,SP,1798,Alta Vacinação
